cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
0,0,1780252253.954103,1780252253.955751,1:1;2:1;3:1;4:1;5:1
0,0,1780252254.954727,1780252254.957235,1:1;2:1;3:1;4:1;5:1
0,0,1780252256.128472,1780252256.132325,1:1;2:1;3:1;4:1;5:1
0,0,1780252257.130795,1780252257.132544,1:1;2:1;3:1;4:1;5:1
0,0,1780252258.131773,1780252258.141539,1:1;2:1;3:1;4:1;5:1
1,6,1780252259.133450,1780252259.135612,1:1;2:1;3:0;4:0;5:1
2,7,1780252260.139904,1780252260.141830,1:0;2:0;3:0;4:0;5:1
3,8,1780252261.294317,1780252261.302408,1:1;2:0;3:1;4:0;5:1
4,9,1780252262.296089,1780252262.298742,1:1;2:0;3:0;4:0;5:1
5,11,1780252263.348572,1780252263.359444,1:1;2:1;3:1;4:0;5:1
6,12,1780252264.426453,1780252264.430710,1:1;2:1;3:0;4:0;5:1
7,13,1780252265.420843,1780252265.423365,1:1;2:1;3:1;4:1;5:1
8,14,1780252266.427367,1780252266.429511,1:1;2:1;3:1;4:0;5:1
9,15,1780252267.431744,1780252267.433691,1:0;2:0;3:0;4:1;5:1
10,16,1780252268.496802,1780252268.500537,1:1;2:0;3:0;4:1;5:1
11,17,1780252269.498435,1780252269.502587,1:1;2:0;3:0;4:1;5:1
12,18,1780252270.947028,1780252270.955538,1:1;2:1;3:0;4:1;5:1
13,19,1780252271.982639,1780252271.986966,1:1;2:1;3:0;4:1;5:1
14,20,1780252272.990550,1780252272.995002,1:1;2:0;3:1;4:1;5:1
15,21,1780252273.991361,1780252273.993163,1:1;2:1;3:1;4:1;5:1
16,22,1780252275.022817,1780252275.029297,1:1;2:1;3:1;4:1;5:1
17,23,1780252276.023120,1780252276.029213,1:1;2:0;3:0;4:1;5:1
18,24,1780252277.024603,1780252277.029602,1:1;2:0;3:0;4:1;5:1
19,25,1780252278.027022,1780252278.032038,1:1;2:1;3:0;4:1;5:1
20,25,1780252279.028827,1780252279.034149,1:1;2:1;3:0;4:1;5:1
21,27,1780252280.032008,1780252280.040481,1:1;2:1;3:1;4:1;5:1
22,28,1780252281.040309,1780252281.046279,1:1;2:1;3:1;4:1;5:1
23,28,1780252282.048992,1780252282.053514,1:0;2:0;3:1;4:1;5:1
24,29,1780252283.055473,1780252283.058467,1:0;2:0;3:0;4:0;5:1
25,31,1780252284.056147,1780252284.061670,1:1;2:0;3:1;4:1;5:1
26,32,1780252285.060764,1780252285.066562,1:1;2:0;3:0;4:0;5:1
27,33,1780252286.064415,1780252286.076664,1:1;2:1;3:1;4:1;5:1
28,34,1780252287.067159,1780252287.070158,1:1;2:1;3:0;4:0;5:1
29,34,1780252288.069313,1780252288.072317,1:1;2:1;3:1;4:1;5:1
30,36,1780252289.070237,1780252289.078711,1:0;2:1;3:1;4:0;5:1
31,37,1780252290.074005,1780252290.085839,1:0;2:0;3:0;4:0;5:1
32,38,1780252291.078011,1780252291.081407,1:1;2:1;3:1;4:0;5:1
33,38,1780252292.078505,1780252292.086554,1:1;2:0;3:0;4:0;5:1
34,39,1780252293.091569,1780252293.096366,1:1;2:1;3:1;4:1;5:1
35,40,1780252294.092577,1780252294.101923,1:1;2:1;3:0;4:0;5:1
36,41,1780252295.092958,1780252295.098382,1:1;2:1;3:1;4:1;5:1
37,42,1780252296.099474,1780252296.108399,1:1;2:1;3:1;4:0;5:1
38,44,1780252297.101776,1780252297.108578,1:0;2:0;3:0;4:1;5:1
39,44,1780252298.102939,1780252298.111516,1:1;2:1;3:1;4:1;5:1
40,45,1780252299.103850,1780252299.107222,1:1;2:1;3:0;4:1;5:1
41,47,1780252300.107042,1780252300.112929,1:1;2:1;3:1;4:1;5:1
